1.2,2.6,8.1,7.7,7.4,5.4,3
1.2,2.6,6.6,6.8,7.4,4.92,2
3.7,4.4,5,5,6.3,4.88,2
3.7,4.4,7.4,7.4,6.3,5.84,3
1.1,0.7,8,6.2,6.8,4.56,2
1.2,0.7,8.5,8,8.1,5.3,3
3.7,4.4,9.4,8.5,7.3,6.66,4
3.7,4.4,8.1,7.8,7.3,6.26,4
3.7,4.4,8.9,8.2,7.3,6.5,4
1.1,0.7,5,7.7,8.1,4.52,2
3.7,4.4,7.9,7.8,6.4,6.04,4
3.7,4.4,8.3,7.8,8.5,6.54,4
3.7,4.4,8.8,8.9,8.5,6.86,4
0.9,0.2,5,5,5,3.22,2
1.1,1.1,8.5,7.5,6.5,4.94,2
1.1,1.1,9.1,7.1,6.5,4.98,2
0.9,0.2,5,5,6.7,3.56,1
1.1,0.7,9.1,8.4,7.2,5.3,3
1.2,0.7,8.2,8.5,7.2,5.16,3
0.6,0.2,8,6.4,7.3,4.5,2
1.1,1.1,6.1,6.6,6.7,4.32,2
1.1,1.1,8.4,8.6,7.2,5.28,3
3.7,4.4,8.8,8.2,6.8,6.38,4
3.7,4.4,8,6.7,6.8,5.92,3
1.1,1.1,5,8.7,6.7,4.52,2
1.2,0.7,5,9.1,8.5,4.9,2
3.7,4.4,6.4,8.8,5.5,5.76,3
3.7,4.4,9.6,9.2,6.5,6.68,4
3.7,4.4,8.7,8.2,6.7,6.34,4
3.7,4.4,7.9,7,7.4,6.08,4
0.9,0.2,6.7,8.5,7.8,4.82,2
1.1,0.7,8.3,7.9,8.1,5.22,3
3.7,4.4,8.9,8.4,7.2,6.52,4
1.1,0.7,7.4,7.6,7,4.76,2
1.2,0.7,6.9,7.3,7,4.62,2
3.7,4.4,8.1,8.1,6.5,6.16,4
3.7,4.4,8.2,8.6,6.2,6.22,4
1.2,0.7,8.3,7.7,8.2,5.22,3
0.6,0.2,8.5,8.5,8.8,5.32,3
3.7,4.4,7.9,3.4,6.3,5.14,3
1.2,2.6,9,9.3,7.2,5.86,3
1.2,2.6,9.5,8.8,8.5,6.12,4
1.2,0.7,5,8.4,7.7,4.6,2
0.9,0.2,7.7,8.1,7.8,4.94,2
0.2,0,8.6,8.2,6.3,4.66,2
1.2,2.6,9.2,9.1,6.7,5.76,3
3.7,4.4,8.4,8.1,6.5,6.22,4
0.9,0.2,5,5,5,3.22,1
1.2,2.6,9,7.9,7.3,5.6,3
1.2,2.6,8.1,5.5,7.3,4.94,2
3.7,4.4,6.6,6.7,5.9,5.46,3
3.7,4.4,7.1,6.9,5.9,5.6,3
3.7,4.4,7.6,8.2,7.3,6.24,4
0.9,0.2,8.8,8,8.8,5.34,3
1.2,0.7,8.1,7,7.8,4.96,2
0.6,0.2,7.1,5.9,5.9,3.94,1
0.6,0.2,5,7.7,5,3.7,1
3.7,4.4,9.2,9.1,8.5,6.98,4
1.1,0.7,7,5.8,7.4,4.4,2
1.1,1.1,8.3,8.3,8,5.36,3
3.7,4.4,8.2,7.4,6.8,6.1,4
1.2,2.6,9,8.3,7,5.62,3
1.1,1.1,9.2,8.3,9.2,5.78,3
1.1,0.7,8.9,8.7,7.5,5.38,3
1.2,0.7,7.3,6.7,7,4.58,2
